group,result_id,hypothesis,method,data_split,metric,baseline,gain,cost,leakage_status,reproducibility,statistical_support,paper_relevance,decision,evidence_ref
WALK,multi_cutoff_walkforward,多 cutoff + 显著性验证 predictive 选择器优于 volume/activity,"LightGBM 扩张窗口 walk-forward（06←{05};07←{05,06};08←{05..07};holdout←{05..08}）+ 配对 bootstrap（B=2000, seed 2022）","dev 06/07/08（n 20,341/19,734/19,062）+ holdout 09-01（n 18,519）；headline K=100 预注册","K=100 U(K)：predictive−volume +78.55 CI[49.98,114.22]；−activity +94.45 CI[55.19,153.94]（均不含 0）；方向 7/7 K 为正",volume / activity / random / structural,中等增量（~5–23% 相对）；Recall@K 增量极小（基数高）,BigQuery≈0；CPU；无 LLM,PASS（预注册 K=100；holdout 只评估一次；09-01 标签 parity 2.9e-11）,可复现（run_walkforward.py + seed + 全产物）,配对 bootstrap CI（n_cutoffs=3，粒度粗）；U 6/7 K 显著、Recall 4/7 显著 → 勿称所有 K 显著,H4 预算价值：dev K=100 省 29.6%、holdout 省 13.0%；决策级证据,KEEP_CORE,research/walkforward/WALK_REPORT.md; README.md; results/walkforward_summary.json; data/bootstrap_ci.json; data/budget_saving.json
TGB2,tgb_mlp_v3b,tgbl-coin-v2 本地官方协议改进 MLP,23 维 leak-free 前缀特征 MLP（v3b 全量 15.97M 训练）+ 官方 split/evaluator/hist_rnd 对齐负采样,官方 train/val/test,test MRR 0.8550（val 0.8373）；独立复跑逐位一致（0.8550222516059875）,本组 MLP 0.7841；活榜 TPNet 0.832±0.001 / Heuristic 0.774（引用）,+0.071 vs 旧 MLP；+0.023 vs TPNet（本地协议口径）,1×RTX4090（GPU5）~7–12min/run；无新下载,PASS（特征严格 < t；val 选配置、test 无调参）,可复现（tgb_mlp2.py + 权重/scaler/logs；独立复跑验证）,单 seed；独立复跑一致；无跨 seed CI,外部基准叙事；⚠️ 本地官方协议评估，非官方提交回执,KEEP_CONTEXT,"research/benchmark_tgb_v2/TGB2_REPORT.md; VERIFY_NOTE.md; tgb_mlp2_v3b_{val,test}_results.json"
LLM_PANEL,june_training_evidence,June 训练证据 = 授权 Qwen3.5-4B 重跑（终裁）,Qwen3.5-4B/vLLM，t=0、max_tokens=700、无 reasoning_effort；与 GLM 历史文件分离评估,"2022-06-01 快照，1,000 事件，4 calls/event","full_parse=noCF_parse=100%（1000/1000）；ALL full MRR=0.557 / cheap 0.3281；d_full_cheap +0.2289 CI[0.1833,0.2718]",GLM v2 float-fix（32.2%/33.9%）不可用；GLM v1 仅诊断,结构性合格；2/1000 事件 step-3 候选 fallback（保留 mask-stage/final rank）,"1,000 events × 4 calls；median 8,975 tokens/event；~11.8s/event；本地授权端点",PASS（授权 shared Qwen；无中转站；无 raw 泄漏；候选支持 1000/1000；0 transport error）,可复现（rerun CSV + june_parse_audit.json + rerun manifest + node_selection manifest）,配对 bootstrap CI（eval jsonl）；2 条 fallback 已文档化并冻结,Router 训练证据（node_selection_v2 已冻结使用）；Phase-II reasoning-gain 监督基础,KEEP_CORE,"artifacts/llm_panel_v2/june_parse_audit.json; runs/jun_gonogo_local_vllm4b_rerun_20260910_{csv,eval.jsonl,manifest.json}; notes/june-parse-audit.md"
LLM_PANEL,glm_june_v2_floatfix,GLM June v2 float-fix 不可用作训练证据,历史 GLM-5.3 v2 float-fix 运行,"2022-06-01，1,000 事件",full parse 32.2%（678 fail）/ noCF 33.9%（661 fail）；636 zero-total-token；678 calls<4；median latency 45.1s,—,—,—,n/a（June 特定运行期故障签名；truth_in_pool 全 1 → 非候选支持问题）,不可复现（raw 响应/逐调用错误未持久化）,n/a,仅诊断；隔离,DROP,artifacts/llm_panel_v2/june_parse_audit.json; notes/june-parse-audit.md
LLM_PANEL,glm_june_v1,GLM June v1 仅诊断,历史 GLM v1 运行（不同 v1 候选池）,"2022-06-01，1,000 事件",parse 99.9%/100%（但 v1 面板不同；不可替代 v2）,—,—,—,n/a,不可作 v2 替代,n/a,历史诊断；protocol review 前不冻结,DROP,artifacts/llm_panel_v2/june_parse_audit.json（v1_june 段）
LLM_PANEL,corrected_v2_qwen_panels,June–September 修正 v2 评估（Qwen）冻结,"授权 Qwen3.5-4B 逐月重跑（4×1,000 事件）",Jun/Jul/Aug 2022-06/07/08-01 + Sep 2022-09-01 独立 holdout,"d_full_cheap：Jun +0.2289[0.1833,0.2718] / Jul +0.138[0.0918,0.185] / Aug +0.1265[0.084,0.1676] / Sep +0.1483[0.1047,0.1956]（全为正）；full−nocf 各月≈0/负（Qwen 下 FSM 不超单射 LLM）",cheap 冻结 ranker,Full-CF 一致优于 cheap（4/4 月 CI 不含 0）,"4×1,000 events × 4 calls；med ~7.8–9.0k tokens/event",PASS（授权端点；parse 100%；Sept 为独立 holdout）,可复现（rerun CSV+eval+manifest）,配对 bootstrap CI；Sept 独立验证,Phase-II RV=FullCF−Cheap 的实测监督；跨模型（GLM）full−nocf 差异须标注,KEEP_CORE,"artifacts/llm_panel_v2/runs/{jun,jul,aug}_gonogo_local_vllm4b_rerun_20260910_eval.jsonl; artifacts/llm_panel_20220901/runs/sept_gonogo_local_vllm4b_rerun_20260910_eval.jsonl"
LLM_PANEL,node_selection_v2,事件级 learned 选择器（修正 v2）go/no-go,HistGBM（16 调用前特征），June 训练 / July 调参 / June+July 重训冻结 / Aug 冻结测试 / Sep 外检,"4×1,000 事件面板（Aug 冻结测试为主）","Aug 50% 预算 learned MRR 0.4606 vs degree 0.4205（Δ+0.0401 CI[0.0209,0.0607]）；4/5 预算胜；calibration Spearman 0.508",degree/volume/repeat/cheap_uncertainty/random,learned > 最佳非学习基线（50% 预算显著）,"Qwen 4×1,000 × 4 calls（tokens med ~7.8–9.0k/event）；CPU 训练",PASS（feature boundary；排除 truth/gain/token 等 21 列；无未来）,可复现（manifest + 冻结 pkl + 输入 csv）,paired bootstrap（B=5000）；Sept 外检正（+0.0338 @50%）,H4 预算化推理选择的前置证据（weak nc_v1 gate 的修正版）,KEEP_CORE,"artifacts/llm_panel_v2/node_selection_v2_final_audited_20260910/{go_no_go.json,manifest.json,node-selection-go-no-go.md}; notes/node-selection-go-no-go-20260910.md"
LLM_PANEL,nc_v1_learned_ranker_0896,learned ranker sampled-pool MRR 0.896,HistGBM ranker（负样本仅取 top-2000 支持）,"2022-08，457,128 事件",sampled-pool MRR 0.896,—,支持伪影：82.2% 正样本在支持外且 sentinel g_rank=99999,CPU,n/a（审计为支持集伪影）,已审计；保留为诊断,n/a,禁止报为全候选预测性能,DROP,artifacts/nc_v1/RESULTS.md (2026-09-09 update)
LLM_PANEL,nc_v1_support_restricted,next-counterparty 支持集受限诚实结果,支持集（正样本在 top-2000）评估 + 事件门,"2022-08，支持集 30,610/171,700（17.8%）",learned ranker MRR 0.456 vs global pop 0.448（+0.0083）；oracle headroom +0.0569；July-trained gate → Aug AUROC 0.557,global popularity 0.448,+0.0083（1.85% 相对）；gate 弱,CPU；token 为固定代理（32/96 单位，非实测）,PASS（支持集受限口径）,可复现,无 CI；小增益,事件级 next-counterparty 任务背景（H2/H3 相关，需 v2 候选池重做）,KEEP_CONTEXT,artifacts/nc_v1/RESULTS.md
LLM_PANEL,router_v1,首个 learned 预算门（weak）,learned router vs volume/random（代理成本 32/96 单位）,2022-08（P4 demo 口径）,learned_router area_above_random 0.232 vs volume 0.227；normalized_vs_oracle 0.823,volume / random,微弱；代理成本非实测 token,CPU；代理成本,n/a（P3 demo，同快照 fwd 标签）,可复现,无 CI,'first learned budget gate was weak'；不得重贴为实测 LLM 改进,KEEP_CONTEXT,artifacts/router_v1/router_efficiency_v1.json; RESULTS_LLM_v1.md
LLM_PANEL,glm_v1_august,v1 GLM August 主对照（历史）,GLM-5.3（中转站，现禁用）v1 面板 + 配对 bootstrap,"2022-08，1,000 事件","full−cheap +0.052[0.016,0.088]；full−nocf +0.131[0.114,0.148]；repeat-only 50% 预算 .635 主导两端",cheap .485 / all-full .550,半预算路由支配两端（v1 口径）,中转站 GLM；现禁用,n/a（被 v2 Qwen 修正面板取代；中转站不可用）,可复现（CSV）,配对 bootstrap CI,历史诊断；跨模型对照参考；Phase-II 禁用中转站,KEEP_CONTEXT,artifacts/llm_panel_v1/RESULTS_LLM_v1.md
BENCH,exgraph_gnn_baselines,EX-Graph 官方 11 模型 GNN 基线,官方仓库 GCN/GAT/GraphSAGE/APPNP 等 11 模型（wo/with-X）,官方 70/10/20 split,论文自报 APPNP with-X AUC 0.89±0.02 / GraphSAGE wo-X 0.84（引用，非本组实测）,—,—,需 dgl/PyG 重依赖；未装,n/a（未执行）,不可复现（环境缺依赖）,n/a,外部基准对照缺口,BLOCKED,research/benchmark_eval/BENCH_REPORT.md §3; research/groupF_benchmark/benchmark_registry.md
TGB2,tgb_official_submission,tgbl-coin-v2 官方榜单提交回执,官方提交接口（需账号/凭据）,官方 leaderboard,test MRR 官方回执,—,—,—,n/a（无官方提交渠道）,不可复现（未配置提交）,n/a,0.8550 为本地官方协议评估，非官方提交回执,BLOCKED,research/benchmark_tgb_v2/TGB2_REPORT.md §6; VERIFY_NOTE.md
